,OID,VxHx_left,VxHx_top,VxHx_right,VxHx_btm,Area_Hex,Autopista,Ferrocarril_Int_CONV,Ferrocarril_estr_vel_conv,Ferrocarril_int_AVE,Ferrocarril_vel_conv,Via calzada unica,Via doble calzada,Via doble preferente,Via unica preferente,Arboles aislados,Vertedero,arenas,bosque,humedal,pradera,roquerios,Inst_E.E,Inst_E.EO,Inst_E.HC,Inst_E.HE,Inst_E.NU,Inst_E.OF,Inst_E.SO,Inst_E.TM,Max_WSP,Min_WSP,Mean_WSP,Calz_km,Calz_cnt,TTE_cnt,LTE_km,LTE_cnt,NA_km2,Na_cnt,UA_km2,UA_cnt,Den_P,Pend_m,InEl_km2,Con_kWh_hex,Con_kWh_Mun,Centerpoint_X,Centerpoint_Y,Prediccion_Eolica
55,56,267087.7836,4550975.523,268242.4842,4549975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15234837949453206,0.28735267326527814,0.3257182007494941,0.0,0.0,0.0,0.0,0.0,0.27158281421843267,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.263359636144308,0.0,6.221538230629659e-05,0.0023387023381090852,267665.1339,4550475.523,1
76,77,267953.809,4551475.523,269108.5096,4550475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14156377368720185,0.30047261988660057,0.32217292073539316,0.0,0.0,0.0,0.0,0.0,0.2413517467113443,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.257655677000519,0.0,6.221538230629659e-05,0.0023387023381090852,268531.1593,4550975.523,1
79,80,267953.809,4548475.523,269108.5096,4547475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14343428304769634,0.29587050283309146,0.32322334136724873,0.0,0.0,0.0,0.0,0.0,0.2934081068033008,0.3333333333333333,0.0,0.0,0.0002050020500205002,0.250991903000278,0.0,5.262060381624741e-05,0.0006346889189015564,268531.1593,4547975.523,1
97,98,268819.8344,4555975.523,269974.535,4554975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17767470019836618,0.2897883447976234,0.3284216077463973,0.0,0.0,0.0,0.0,0.0,0.2282511961067972,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.16643217908965618,0.0,6.221538230629659e-05,0.0023387023381090852,269397.1847,4555475.523,1
98,99,268819.8344,4554975.523,269974.535,4553975.523,866025.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1952119513085001,0.29349180004052555,0.3178831684178436,0.02996181519916407,0.0057306590257879654,0.03389830508474576,0.11579658403310113,0.058823529411764705,0.21004498200109648,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.23135394040462326,0.0,6.221538230629659e-05,0.0023387023381090852,269397.1847,4554475.523,1
101,102,268819.8344,4551975.523,269974.535,4550975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17839170389059433,0.2859717544517788,0.32961985140165617,0.0,0.0,0.0,0.0,0.0,0.3425015837569966,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.2973830501476022,0.0,6.221538230629659e-05,0.0023387023381090852,269397.1847,4551475.523,1
102,103,268819.8344,4550975.523,269974.535,4549975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285990074207444,0.29096199253726696,0.32599412528581095,0.0,0.0,0.0,0.0,0.0,0.31762893133926384,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.30481327617482196,0.0,6.221538230629659e-05,0.0023387023381090852,269397.1847,4550475.523,1
103,104,268819.8344,4549975.523,269974.535,4548975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15597860036235656,0.3077118623158406,0.3360518601549458,0.0,0.0,0.0,0.0,0.0,0.29680057231002077,0.3333333333333333,0.0,0.0,0.0002050020500205002,0.2897951509458322,0.0,5.262060381624741e-05,0.0006346889189015564,269397.1847,4549475.523,1
134,135,269685.8598,4557475.523,270840.5604,4556475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17574357999586343,0.3433725167267584,0.344931161184582,0.0,0.0,0.0,0.0,0.0,0.2565601425670028,0.5,0.0,0.0,0.00015375153751537513,0.095523852272266,0.0,6.221538230629659e-05,0.0023387023381090852,270263.2101,4556975.523,1
135,136,269685.8598,4556475.523,270840.5604,4555475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18519018482345107,0.2861362703144923,0.3317386775055302,0.0,0.0,0.0,0.0,0.0,0.1635245154854866,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.03835357784892373,0.0,6.221538230629659e-05,0.0023387023381090852,270263.2101,4555975.523,1
